Snake,County,Latitude,Longitude,Species_Genotype,PC1,PC2,,,
CRF2669,Nevada,39.442691,-120.658378,couchii_T,0.39064555,-0.148600512,,,
CRF3072,Tuolumne,38.04301,-119.902411,couchii_T,1.232565386,-0.103510755,,,
EJE184,Tuolumne,37.819379,-119.919458,couchii_T,1.30743847,-0.080863419,,,
CRF3065,Tuolumne,38.04029,-119.90284,couchii_T,1.233326071,-0.097883355,,,
CRF2630,Fresno,36.934489,-119.247356,couchii_T,1.923328697,-0.03444169,,,
CRF2633,Fresno,36.934489,-119.247356,couchii_T,1.923328697,-0.03444169,,,
CRF3066,Tuolumne,38.04029,-119.90284,couchii_T,1.232470523,-0.013594545,,,
EJE188,Tuolumne,37.819379,-119.919458,couchii_T,1.306336165,0.027736082,,,
EJE186,Tuolumne,37.821434,-119.918561,couchii_T,1.305871969,0.036956077,,,
CRF2631,Fresno,36.934489,-119.247356,couchii_T,1.921617603,0.13413593,,,
JSR028,Placer,39.33556,-120.2069,elegans_WT,0.627153466,-0.360576587,,,
JSR026,Nevada,39.4320667,-120.2410583,elegans_WT,0.576866244,-0.364560425,,,
CRF2965,Napa,38.667188,-122.587417,elegans_WT,-0.156180811,-0.126339052,,,
HAM001,Washoe,39.548361,-119.825139,elegans_WT,0.713901449,-0.404964142,,,
CRF3363,Washoe,39.515041,-119.995788,elegans_WT,0.652376235,-0.389105197,,,
CRF3188,Placer,39.22491,-120.13742,elegans_WT,0.69789966,-0.356529553,,,
CRF2966,Napa,38.667188,-122.587417,elegans_WT,-0.156186743,-0.12575465,,,
CRF3354,Washoe,39.548504,-119.825423,elegans_WT,0.713718056,-0.404166843,,,
CRF2390,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.15335806,-0.108141608,,,
VLT095,San_Mateo,37.548209,-122.513571,elegans_WT,0.287508874,-0.048827562,,,
JSR002,Placer,39.33556,-120.2069,elegans_WT,0.627128495,-0.35811641,,,
JSR001,Placer,39.33556,-120.2069,elegans_WT,0.627123772,-0.357651136,,,
VLT096,San_Mateo,37.548209,-122.513571,elegans_WT,0.287495702,-0.047529895,,,
CRF3190,Placer,39.22491,-120.13742,elegans_WT,0.697878162,-0.354411543,,,
CRF3032,Mendocino,39.74717,-123.63421,elegans_WT,-1.006242736,-0.121360819,,,
CRF3033,Mendocino,39.74717,-123.63421,elegans_WT,-1.00624958,-0.120686508,,,
CRF3035,Mendocino,39.44217,-123.35263,elegans_WT,-0.772266766,-0.119884417,,,
CRF3036,Mendocino,39.44217,-123.35263,elegans_WT,-0.77227361,-0.119210107,,,
CRF2388,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153399127,-0.104095745,,,
CRF3034,Sonoma,38.431705,-123.06943,elegans_WT,-0.277987329,-0.066743581,,,
CRF2384,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153401408,-0.103870975,,,
CRF2387,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.15340483,-0.10353382,,,
CRF2385,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153405971,-0.103421435,,,
CRF2393,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153407112,-0.10330905,,,
CRF2391,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153408252,-0.103196665,,,
CRF2392,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153408252,-0.103196665,,,
CRF3091,Santa_Cruz,36.99223,-121.92186,elegans_WT,0.747894386,-0.048889396,,,
CRF2515,Sierra,39.451918,-120.290809,elegans_WT,0.547962451,-0.353523048,,,
CRF3108,Santa_Cruz,37.04068,-122.2288,elegans_WT,0.59731517,-0.025071831,,,
CRF2386,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153450459,-0.099038417,,,
CRF2389,Sonoma,38.53956667,-122.6894833,elegans_WT,-0.153494948,-0.094655399,,,
CRF2536,Sonoma,38.32466,-122.579965,elegans_WT,-0.027083709,-0.084890277,,,
CRF2537,Sonoma,38.34972,-122.6075,elegans_WT,-0.048226961,-0.083023517,,,
CRF2510,El_Dorado,38.876418,-120.080738,elegans_WT,0.850453269,-0.316084703,,,
CRF2512,El_Dorado,38.876418,-120.080738,elegans_WT,0.85043958,-0.314736082,,,
CRF2511,El_Dorado,38.876418,-120.080738,elegans_WT,0.850428173,-0.313612232,,,
CRF2513,El_Dorado,38.876418,-120.080738,elegans_WT,0.850266189,-0.29765355,,,
CRF2514,Sierra,39.451918,-120.290809,elegans_WT,0.547604262,-0.318234133,,,
CRF2513B,Captive_Birth,38.876418,-120.080738,elegans_WT,0.850051732,-0.276525155,,,
Brodie15.58,San_Diego,32.966548,-116.654322,hammondii_WT,4.506861052,-0.161600401,,,
Brodie15.59,San_Diego,33.021928,-116.638605,hammondii_WT,4.49327523,-0.166658781,,,
Brodie15.60,San_Diego,33.021928,-116.638605,hammondii_WT,4.493274089,-0.166546396,,,
Brodie15.57,San_Diego,32.966548,-116.654322,hammondii_WT,4.506847364,-0.16025178,,,
Brodie15.48,San_Diego,32.97384,-116.645006,hammondii_WT,4.508103035,-0.152742761,,,
Brodie15.43,San_Diego,32.97384,-116.645006,hammondii_WT,4.50809619,-0.152068451,,,
Brodie15.44,San_Diego,32.97384,-116.645006,hammondii_WT,4.508091628,-0.151618911,,,
Brodie15.46,San_Diego,32.97384,-116.645006,hammondii_WT,4.507931925,-0.135884999,,,
Brodie15.47,San_Diego,32.97384,-116.645006,hammondii_WT,4.507388938,-0.082389701,,,
JSR018,Mendocino,39.031344,-123.07888,sirtalis_+/LVNV,-0.504491669,0.063177867,,,
JSR022,Mendocino,39.031344,-123.07888,sirtalis_+/LVNV,-0.506914981,0.301923337,,,
REdC3,Napa,38.871672,-122.42317,sirtalis_+/LVNV,-0.166102205,0.406524615,,,
REdC11,Napa,38.75188,-122.28353,sirtalis_+/LVNV,-0.061643058,0.404501189,,,
CRF3294,Calaveras,38.36889,-120.54759,sirtalis_+/LVNV,0.829872677,0.298137355,,,
JSR021,Mendocino,39.031344,-123.07888,sirtalis_LVNV,-0.504612825,0.075114129,,,
JSR017,Mendocino,39.031344,-123.07888,sirtalis_LVNV,-0.505692707,0.181504521,,,
JSR016,Mendocino,39.031344,-123.07888,sirtalis_LVNV,-0.50602677,0.214416492,,,
CRF2399,Napa,38.61336667,-122.4116333,sirtalis_LVNV,-0.066060612,0.424593722,,,
CRF2399a,Captive_Birth,38.61336667,-122.4116333,sirtalis_LVNV,-0.066060612,0.424593722,,,
CRF2405,Napa,38.781405,-122.281479,sirtalis_LVNV,-0.071621115,0.402174798,,,
CRF2406,Napa,38.781405,-122.281479,sirtalis_LVNV,-0.071621115,0.402174798,,,
CRF2410,Napa,38.764993,-122.301092,sirtalis_LVNV,-0.074061889,0.404899027,,,
CRF2411,Napa,38.764993,-122.301092,sirtalis_LVNV,-0.074061889,0.404899027,,,
HOP02,Mendocino,39.03175,-123.08163,sirtalis_LVNV,-0.509711758,0.445782577,,,
